"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"pom.xml","pom.xml","org.openrewrite.java.migrate.javax.AddJaxbAPIDependencies","org.openrewrite.java.dependencies.ChangeDependency","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.javax.AddJaxbDependenciesWithRuntime","org.openrewrite.java.migrate.javax.AddJaxbAPIDependencies","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.javax.AddJaxbDependenciesWithRuntime","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.Java8toJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.javax.AddJaxwsDependencies","org.openrewrite.java.dependencies.AddDependency","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.javax.AddJaxwsDependencies","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.Java8toJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.javax.AddJaxwsRuntime","org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.javax.AddJaxwsDependencies","org.openrewrite.java.migrate.javax.AddJaxwsRuntime","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.javax.AddJaxwsDependencies","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.Java8toJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.maven.UseMavenCompilerPluginReleaseConfiguration","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.Java8toJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.maven.UpdateMavenProjectPropertyJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.Java8toJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.maven.UpdateMavenProjectPropertyJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.UpgradeBuildToJava17","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradePluginsForJava17","org.openrewrite.maven.UpgradePluginVersion","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.UpgradePluginsForJava17","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradePluginsForJava17","org.openrewrite.maven.UpgradePluginVersion","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.UpgradePluginsForJava17","300","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo2\controller\SampleController.java","src\main\java\com\example\demo2\controller\SampleController.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\controller\SampleController.java","src\main\java\com\example\demo2\controller\SampleController.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\controller\SampleController.java","src\main\java\com\example\demo2\controller\SampleController.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\controller\SampleController.java","src\main\java\com\example\demo2\controller\SampleController.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\controller\SampleController.java","src\main\java\com\example\demo2\controller\SampleController.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo2\DemoApplication.java","src\main\java\com\example\demo2\DemoApplication.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\DemoApplication.java","src\main\java\com\example\demo2\DemoApplication.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\DemoApplication.java","src\main\java\com\example\demo2\DemoApplication.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\DemoApplication.java","src\main\java\com\example\demo2\DemoApplication.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\DemoApplication.java","src\main\java\com\example\demo2\DemoApplication.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo2\dto\SampleDTO.java","src\main\java\com\example\demo2\dto\SampleDTO.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\dto\SampleDTO.java","src\main\java\com\example\demo2\dto\SampleDTO.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\dto\SampleDTO.java","src\main\java\com\example\demo2\dto\SampleDTO.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\dto\SampleDTO.java","src\main\java\com\example\demo2\dto\SampleDTO.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\dto\SampleDTO.java","src\main\java\com\example\demo2\dto\SampleDTO.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo2\service\SampleService.java","src\main\java\com\example\demo2\service\SampleService.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\service\SampleService.java","src\main\java\com\example\demo2\service\SampleService.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\service\SampleService.java","src\main\java\com\example\demo2\service\SampleService.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\service\SampleService.java","src\main\java\com\example\demo2\service\SampleService.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\service\SampleService.java","src\main\java\com\example\demo2\service\SampleService.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo2\soap\SoapClient.java","src\main\java\com\example\demo2\soap\SoapClient.java","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\soap\SoapClient.java","src\main\java\com\example\demo2\soap\SoapClient.java","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","0","1"
"src\main\java\com\example\demo2\soap\SoapClient.java","src\main\java\com\example\demo2\soap\SoapClient.java","","org.openrewrite.java.migrate.Java8toJava11","0","1"
"src\main\java\com\example\demo2\soap\SoapClient.java","src\main\java\com\example\demo2\soap\SoapClient.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo2\soap\SoapClient.java","src\main\java\com\example\demo2\soap\SoapClient.java","","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
