"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","12","10","37300","26616.0","26300","11300","2544.0","2500"
"org.openrewrite.java.migrate.UpgradeToJava6","12","10","17400","9712.0","9300","12100","2160.0","2100"
"org.openrewrite.java.migrate.UpgradeToJava17","12","10","20500","8184.0","8000","24100","12256.0","11800"
"org.openrewrite.java.migrate.UpgradeToJava7","12","10","21200","7152.0","7100","14400","4320.0","4300"
"org.openrewrite.java.migrate.lang.SwitchCaseAssignmentsToSwitchExpression","12","10","0","0.0","0","5919700","3407856.0","3313900"
"org.openrewrite.java.migrate.UpgradeToJava8","12","10","16900","8184.0","8100","12400","2288.0","2300"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","12","10","0","0.0","0","59800","57336.0","56800"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","12","10","0","0.0","0","21400","9208.0","8900"
"org.openrewrite.java.migrate.UpgradeToJava21","12","10","111200","102384.0","101100","46700","29664.0","29100"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","12","10","32800","17404.0","16500","15200","4336.0","4100"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","12","10","0","0.0","0","939800","376576.0","374600"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","12","10","19300","6904.0","6900","30600","5056.0","5000"
"org.openrewrite.java.dependencies.ChangeDependency","12","10","0","0.0","0","11118700","589820.0","1089600"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","12","10","10100","2552.0","2500","12100","3440.0","3400"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","12","10","0","0.0","0","485400","188400.0","187400"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","12","10","0","0.0","0","1227900","409596.0","404200"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","12","10","11700","2684.0","2600","13000","2272.0","2200"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","12","10","30800","5360.0","5200","46100","5872.0","5800"
"org.openrewrite.java.migrate.util.ListFirstAndLast","12","10","0","0.0","0","506000","98296.0","95700"
"org.openrewrite.java.ReplaceStringLiteralValue","12","10","0","0.0","0","1217000","557052.0","553000"
"org.openrewrite.java.migrate.UpdateSdkMan","12","10","0","0.0","0","6850600","3668992.0","3592500"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","12","10","0","0.0","0","216000","43000.0","41200"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","12","10","8900","1720.0","1700","13500","2784.0","2800"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","12","10","17800","9208.0","9200","29600","9200.0","9100"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceWeakCompareAndSetToWeakCompareAndSetPlain","12","10","9700","2044.0","2000","21600","4064.0","4000"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","12","10","10600","2936.0","2900","20400","4064.0","4000"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","12","10","8000","1532.0","1500","13700","3168.0","3100"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","12","10","0","0.0","0","335400","94204.0","91600"
"org.openrewrite.java.migrate.InternalBindPackages","12","10","12700","4344.0","4100","51000","21440.0","20900"
"org.openrewrite.java.ChangeMethodInvocationReturnType","12","10","0","0.0","0","1351300","409596.0","394700"
"org.openrewrite.java.migrate.lang.StringFormatted","12","10","0","0.0","0","320700","73724.0","72100"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","12","10","9800","1848.0","1800","16500","3168.0","3100"
"org.openrewrite.maven.AddAnnotationProcessor","12","10","0","0.0","0","2800","828.0","800"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","12","10","0","0.0","0","539300","294908.0","287900"
"org.openrewrite.java.migrate.RemovedRMIConnectorServerCredentialTypesConstant","12","10","8000","2044.0","2000","14000","2800.0","2800"
"org.openrewrite.java.migrate.concurrent.JavaConcurrentAPIs","12","10","16500","2940.0","2900","24000","7664.0","7500"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","12","10","244900","98240.0","95400","4982200","4717568.0","4526600"
"org.openrewrite.java.migrate.ChangeDefaultKeyStore","12","10","0","0.0","0","139200","27640.0","26800"
"org.openrewrite.java.migrate.lang.ThreadStopUnsupported","12","10","0","0.0","0","988700","344060.0","332700"
"org.openrewrite.gradle.UpdateJavaCompatibility","12","10","0","0.0","0","964600","102272.0","99500"
"org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods","12","10","7500","1520.0","1500","12200","3568.0","3500"
"org.openrewrite.maven.ChangeDependencyScope","12","10","0","0.0","0","104900","106492.0","103700"
"org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast","12","10","0","0.0","0","16100","4600.0","4400"
"org.openrewrite.gradle.UpdateGradleWrapper","12","10","2918200","2358784.0","2277100","86900","20416.0","20000"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","12","10","0","0.0","0","2084500","2097148.0","2082100"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeGradle","12","10","0","0.0","0","13600","6384.0","6300"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","12","10","8500","1912.0","1900","14900","3184.0","3100"
"org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle","12","10","0","0.0","0","11900","3452.0","3400"
"org.openrewrite.java.migrate.lang.SwitchExpressionYieldToArrow","12","10","0","0.0","0","1533000","458748.0","456900"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","12","10","0","0.0","0","1207300","327676.0","324700"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","12","10","46400","32760.0","32600","38300","7904.0","7800"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","12","10","0","0.0","0","71000","30704.0","30100"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","12","10","9500","2040.0","2000","17100","7408.0","7400"
"org.openrewrite.java.migrate.util.SequencedCollection","12","10","13900","4344.0","4200","38700","7360.0","7300"
"org.openrewrite.java.migrate.UpgradePluginsForJava21","12","10","12200","3068.0","3000","47500","16352.0","15900"
"org.openrewrite.java.migrate.CastArraysAsListToList","12","10","0","0.0","0","25100","6652.0","6400"
"org.openrewrite.java.migrate.JREWrapperInterface","12","10","15200","7420.0","7300","10000","2288.0","2300"
